parallel_threads,prefetch_buffer_size,mean_images,std_dev
128,8,749.8691922040043,212.78811912784798
128,32,651.542584434366,179.4126051140796
128,64,603.2046162713392,233.93456114576085
128,4,828.5535279946938,172.15318287988302
128,2,812.6535101486274,144.0425762658583
64,4,779.0874647533994,207.56373947926514
32,4,814.2962530309841,224.0641679326285
16,4,696.468276840543,282.92096139442424
8,4,600.3768156596582,340.51558910484897
4,4,352.42754205121634,255.93694427191528
256,4,689.8243951105053,187.40729817546617
128,16,742.6415689818352,221.36956303236346
